Category	Name	Value
ReadStats	PassReads	4350975.0
ReadStats	LenFail	0.0
ReadStats	QcFail	2.0
Classification	Primers_found	3764978.0
Classification	Rescue	82121.0
Classification	Unusable	545267.0
Strand	+	3764703.0
Strand	-	275.0
RescueStrand	+	82041.0
RescueStrand	-	80.0
UnclassHitNr	0	436639.0
UnclassHitNr	2	39819.0
UnclassHitNr	3	57949.0
UnclassHitNr	4	8982.0
UnclassHitNr	5	1136.0
UnclassHitNr	6	528.0
UnclassHitNr	7	133.0
UnclassHitNr	8	42.0
UnclassHitNr	9	16.0
UnclassHitNr	10	9.0
UnclassHitNr	11	5.0
UnclassHitNr	12	3.0
UnclassHitNr	13	2.0
UnclassHitNr	14	1.0
UnclassHitNr	15	2.0
UnclassHitNr	18	1.0
RescueHitNr	4	78760.0
RescueHitNr	5	1270.0
RescueHitNr	6	1526.0
RescueHitNr	7	78.0
RescueHitNr	8	64.0
RescueHitNr	9	15.0
RescueHitNr	10	68.0
RescueHitNr	11	34.0
RescueHitNr	12	45.0
RescueHitNr	13	30.0
RescueHitNr	14	41.0
RescueHitNr	15	33.0
RescueHitNr	16	27.0
RescueHitNr	17	11.0
RescueHitNr	18	30.0
RescueHitNr	19	11.0
RescueHitNr	20	13.0
RescueHitNr	21	9.0
RescueHitNr	22	5.0
RescueHitNr	23	11.0
RescueHitNr	24	21.0
RescueHitNr	26	4.0
RescueHitNr	27	3.0
RescueHitNr	28	6.0
RescueHitNr	32	6.0
RescueSegmentNr	2	40143.0
RescueSegmentNr	3	547.0
RescueSegmentNr	4	23.0
RescueSegmentNr	5	10.0
RescueSegmentNr	6	3.0
RescueSegmentNr	7	1.0
RescueSegmentNr	8	1.0
RescueSegmentNr	9	1.0
RescueSegmentNr	10	1.0
Unusable	0	1642.0
Unusable	1	4961.0
Unusable	2	4541.0
Unusable	3	4615.0
Unusable	4	4795.0
Unusable	5	5048.0
Unusable	6	5413.0
Unusable	7	5905.0
Unusable	8	6666.0
Unusable	9	6781.0
Unusable	10	7730.0
Unusable	11	7958.0
Unusable	12	9030.0
Unusable	13	9654.0
Unusable	14	10412.0
Unusable	15	10992.0
Unusable	16	12041.0
Unusable	17	12510.0
Unusable	18	13431.0
Unusable	19	12991.0
Unusable	20	13881.0
Unusable	21	13442.0
Unusable	22	13917.0
Unusable	23	13935.0
Unusable	24	14126.0
Unusable	25	16248.0
Unusable	26	15861.0
Unusable	27	15662.0
Unusable	28	16340.0
Unusable	29	15944.0
Unusable	30	16252.0
Unusable	31	15276.0
Unusable	32	15759.0
Unusable	33	15453.0
Unusable	34	15595.0
Unusable	35	15971.0
Unusable	36	15728.0
Unusable	37	15444.0
Unusable	38	15416.0
Unusable	39	14424.0
Unusable	40	15510.0
Unusable	41	15397.0
Unusable	42	15278.0
Unusable	43	15046.0
Unusable	44	15279.0
Unusable	45	15583.0
Unusable	46	15846.0
Unusable	47	16336.0
Unusable	48	17797.0
Unusable	49	17596.0
Unusable	50	21981.0
Unusable	51	21418.0
Unusable	52	21974.0
Unusable	53	22552.0
Unusable	54	23027.0
Unusable	55	24460.0
Unusable	56	26036.0
Unusable	57	28450.0
Unusable	58	33967.0
Unusable	59	39719.0
Unusable	60	42224.0
Unusable	61	40670.0
Unusable	62	42099.0
Unusable	63	45344.0
Unusable	64	50980.0
Unusable	65	54190.0
Unusable	66	54002.0
Unusable	67	52080.0
Unusable	68	51913.0
Unusable	69	52979.0
Unusable	70	57104.0
Unusable	71	59184.0
Unusable	72	63671.0
Unusable	73	72781.0
Unusable	74	92055.0
Unusable	75	122729.0
Unusable	76	135561.0
Unusable	77	141291.0
Unusable	78	143061.0
Unusable	79	129459.0
Unusable	80	124734.0
Unusable	81	123307.0
Unusable	82	112176.0
Unusable	83	108814.0
Unusable	84	118250.0
Unusable	85	112687.0
Unusable	86	98164.0
Unusable	87	89171.0
Unusable	88	93698.0
Unusable	89	93853.0
Unusable	90	92027.0
Unusable	91	69989.0
Unusable	92	55210.0
Unusable	93	40250.0
Unusable	94	26248.0
Unusable	95	12678.0
Unusable	96	4622.0
Unusable	97	673.0
Unusable	98	8.0
Unusable	177	1.0
Unusable	181	1.0
Unusable	186	1.0
Unusable	190	1.0
Unusable	196	2.0
Unusable	197	3.0
Unusable	198	1.0
Unusable	199	2.0
Unusable	200	1.0
Unusable	203	1.0
Unusable	204	1.0
Unusable	207	1.0
Unusable	209	2.0
Unusable	210	2.0
Unusable	219	1.0
Unusable	223	1.0
Unusable	227	2.0
Unusable	229	1.0
Unusable	232	1.0
Unusable	233	1.0
Unusable	234	1.0
Unusable	236	2.0
Unusable	237	5.0
Unusable	238	2.0
Unusable	239	2.0
Unusable	242	3.0
Unusable	243	6.0
Unusable	244	3.0
Unusable	245	4.0
Unusable	246	4.0
Unusable	247	3.0
Unusable	248	2.0
Unusable	249	1.0
Unusable	250	2.0
Unusable	251	2.0
Unusable	252	3.0
Unusable	253	4.0
Unusable	254	6.0
Unusable	255	1.0
Unusable	256	9.0
Unusable	257	6.0
Unusable	258	5.0
Unusable	259	4.0
Unusable	260	9.0
Unusable	261	4.0
Unusable	262	6.0
Unusable	263	10.0
Unusable	264	9.0
Unusable	265	9.0
Unusable	266	4.0
Unusable	267	9.0
Unusable	268	15.0
Unusable	269	9.0
Unusable	270	10.0
Unusable	271	13.0
Unusable	272	19.0
Unusable	273	10.0
Unusable	274	19.0
Unusable	275	24.0
Unusable	276	24.0
Unusable	277	22.0
Unusable	278	26.0
Unusable	279	20.0
Unusable	280	29.0
Unusable	281	36.0
Unusable	282	35.0
Unusable	283	46.0
Unusable	284	39.0
Unusable	285	47.0
Unusable	286	59.0
Unusable	287	42.0
Unusable	288	56.0
Unusable	289	55.0
Unusable	290	85.0
Unusable	291	76.0
Unusable	292	72.0
Unusable	293	85.0
Unusable	294	91.0
Unusable	295	109.0
Unusable	296	102.0
Unusable	297	129.0
Unusable	298	177.0
Unusable	299	139.0
Unusable	300	163.0
Unusable	301	160.0
Unusable	302	173.0
Unusable	303	186.0
Unusable	304	200.0
Unusable	305	217.0
Unusable	306	246.0
Unusable	307	262.0
Unusable	308	287.0
Unusable	309	249.0
Unusable	310	330.0
Unusable	311	346.0
