q_acc,ref_acc,total_errors,error_rate,subs,ins,del,switch,abundance
3_0_9,SIRV706,24,2.529,0,22,2,1,5
3_0_36,SIRV706,18,1.8967,0,14,4,1,5
3_0_97,SIRV708,33,3.712,1,24,8,1,5
3_0_123,SIRV708,26,2.9246,2,11,13,1,5
3_0_150,SIRV704,13,3.0374,0,12,1,1,5
11_0_1,SIRV308,11,2.2965,0,11,0,1,1
12_0_1,SIRV617,8,2.8986,0,6,2,1,1
6_0_1,SIRV409,23,1.4678,0,21,2,1,5
6_0_33,SIRV409,14,0.8934,0,12,2,1,5
6_0_64,SIRV409,15,0.9572,0,13,2,1,5
6_0_128,SIRV410,12,1.2632,0,11,1,1,5
6_0_143,SIRV409,32,2.0421,4,15,13,1,5
1_0_1,SIRV502,16,0.8065,0,16,0,1,6
1_0_130,SIRV508,16,0.7674,0,15,1,1,6
1_0_35,SIRV505,12,0.5914,0,12,0,1,6
1_0_52,SIRV508,14,0.6715,3,5,6,1,6
1_0_194,SIRV511,18,3.2967,0,18,0,1,6
1_0_258,SIRV507,13,2.439,0,12,1,1,6
4_0_1,SIRV202,21,1.0654,0,20,1,1,4
4_0_132,SIRV201,13,0.6338,0,10,3,1,4
4_0_160,SIRV203,13,1.895,0,13,0,1,4
4_0_162,SIRV204,8,1.0811,0,7,1,1,4
9_0_19,SIRV504,26,1.0514,3,21,2,1,3
9_0_33,SIRV509,17,1.9209,2,2,13,1,3
9_0_65,SIRV503,12,2.2814,0,12,0,1,3
5_0_1,SIRV103,22,1.6141,0,19,3,1,4
5_0_113,SIRV102,10,0.7692,0,7,3,1,4
5_0_130,SIRV106,20,2.0555,0,19,1,1,4
5_0_128,SIRV105,17,2.5373,0,16,1,1,4
7_0_1,SIRV304,63,5.8172,14,29,20,1,3
7_0_8,SIRV307,48,6.1617,7,14,27,1,3
7_0_154,SIRV305,15,3.4404,0,14,1,1,3
2_0_1,SIRV403,17,2.5373,0,17,0,1,5
2_0_160,SIRV405,7,1.1182,0,7,0,1,5
2_0_128,SIRV404,18,3.0405,4,13,1,1,5
2_0_155,SIRV408,31,5.4386,5,16,10,1,5
2_0_184,SIRV408,9,1.5789,0,9,0,1,5
14_0_1,SIRV615,12,1.5326,1,7,4,1,1
10_0_1,SIRV310,16,2.7165,0,16,0,1,1
13_0_1,SIRV512,14,6.1135,2,5,7,1,1
0_0_2,SIRV604,25,1.6265,0,25,0,1,16
0_0_129,SIRV601,14,0.9756,0,12,2,1,16
0_0_140,SIRV604,23,1.4964,1,19,3,1,16
0_0_45,SIRV613,16,1.2204,0,14,2,1,16
0_0_177,SIRV610,17,1.4617,0,17,0,1,16
0_0_236,SIRV605,9,0.8272,2,4,3,1,16
0_0_254,SIRV612,45,2.945,18,9,18,1,16
0_0_320,SIRV615,14,1.788,5,8,1,1,16
0_0_385,SIRV602,12,2.0906,0,12,0,1,16
0_0_516,SIRV607,15,2.6132,0,15,0,1,16
0_0_344,SIRV606,9,1.6514,1,7,1,1,16
0_0_532,SIRV611,10,2.2026,0,9,1,1,16
0_0_579,SIRV614,8,1.7429,0,8,0,1,16
0_0_465,SIRV610,20,1.7197,1,19,0,1,16
0_0_515,SIRV609,18,3.7113,0,18,0,1,16
0_0_530,SIRV602,13,2.2648,0,13,0,1,16
15_0_1,SIRV306,13,0.5478,0,7,6,1,1
8_0_103,SIRV406,18,2.9173,6,4,8,1,2
8_0_72,SIRV406,7,1.1345,0,7,0,1,2
