Number,SIRV_ID,Tool
1111, SIRV102, isONform 
1765, SIRV105, isONform 
4839, SIRV109, isONform 
109, SIRV107, isONform 
132, SIRV103, isONform 
202, SIRV106, isONform 
161, SIRV101, isONform 
1077, SIRV102, original 
1666, SIRV105, original 
4460, SIRV109, original 
131, SIRV107, original 
180, SIRV103, original 
208, SIRV106, original 
177, SIRV101, original 
0, SIRV102, RATTLE 
0, SIRV105, RATTLE 
4586, SIRV109, RATTLE 
0, SIRV107, RATTLE 
0, SIRV103, RATTLE 
0, SIRV106, RATTLE 
3294, SIRV101, RATTLE 
