id,nr_isos,tool,error_rates
8_13,8,isONform,0.7167444444444445
15_2,15,isONform,0.5906666666666669
15_8, 15, RATTLE, 3.9313142857142855
3_15,3,isONform,0.0483
9_20,9,isONform,0.5491699999999999
12_15,12,isONform,0.4033076923076923
11_13,11,isONform,0.2302615384615385
5_15,5,isONform,0.2028
13_16,13,isONform,0.7122222222222223
2_14,2,isONform,0.20804999999999998
10_2,10,isONform,0.27087
3_1,3,isONform,0.2813
8_4, 8, RATTLE, 6.822800000000001
6_9,6,isONform,0.1282
9_7,9,isONform,0.12828666666666666
12_17, 12, RATTLE, 2.7242833333333336
12_19,12,isONform,0.4334923076923077
6_17,6,isONform,0.4772666666666667
15_4,15,isONform,0.38730666666666663
7_3,7,isONform,0.37181999999999993
2_7, 2, RATTLE, 1.1111
15_14,15,isONform,0.47907142857142854
14_10,14,isONform,0.27284285714285716
7_8, 7, RATTLE, 2.25094
13_13,13,isONform,0.6423000000000001
6_20, 6, RATTLE, 0.33549999999999996
7_19,7,isONform,0.3933875
10_9,10,isONform,0.14229
5_2,5,isONform,0.22884000000000002
11_18, 11, RATTLE, 1.318025
4_14, 4, RATTLE, 0.27005
14_2,14,isONform,0.16158
4_17,4,isONform,0.70668
14_15,14,isONform,0.4515733333333333
6_15,6,isONform,0.91445
10_15, 10, RATTLE, 2.5737375000000005
3_3,3,isONform,0.27696666666666664
4_18,4,isONform,0.1393
7_18,7,isONform,0.5751999999999999
9_17,9,isONform,0.18151111111111107
4_15, 4, RATTLE, 0.56215
5_12,5,isONform,0.20781666666666668
6_14, 6, RATTLE, 0.13495000000000001
12_20, 12, RATTLE, 1.9803
12_7,12,isONform,0.92644
6_8, 6, RATTLE, 3.3183000000000002
14_11, 14, RATTLE, 5.016914285714286
2_13, 2, RATTLE, 0.0
4_10,4,isONform,0.9347166666666666
4_19,4,isONform,1.2028857142857141
2_1,2,isONform,0.48775
6_11,6,isONform,0.2996833333333333
5_14, 5, RATTLE, 0.44862
5_20, 5, RATTLE, 0.27421999999999996
14_8,14,isONform,0.16195
3_4,3,isONform,0.12316666666666669
4_19, 4, RATTLE, 0.22949999999999998
12_10, 12, RATTLE, 4.7059999999999995
4_11, 4, RATTLE, 0.42422499999999996
14_20,14,isONform,0.49736250000000004
2_8, 2, RATTLE, 0.58065
3_9, 3, RATTLE, 0.80045
15_8,15,isONform,0.5887727272727272
5_16,5,isONform,0.39208333333333334
12_2, 12, RATTLE, 2.187855555555555
14_16, 14, RATTLE, 8.716985714285714
3_19, 3, RATTLE, 0.35883333333333334
14_4,14,isONform,0.14009285714285716
15_9, 15, RATTLE, 4.698687500000001
5_16, 5, RATTLE, 0.30646
8_14,8,isONform,0.17672500000000002
3_5, 3, RATTLE, 0.5078666666666667
6_6,6,isONform,0.030299999999999997
2_15,2,isONform,0.0
9_13, 9, RATTLE, 4.956733333333333
7_5, 7, RATTLE, 2.50102
15_5,15,isONform,0.59213
4_18, 4, RATTLE, 6.0465333333333335
3_19,3,isONform,0.03056666666666667
5_3, 5, RATTLE, 0.42602
14_8, 14, RATTLE, 2.6163999999999996
4_2,4,isONform,0.43655
6_6, 6, RATTLE, 0.08431666666666666
7_7, 7, RATTLE, 0.3760142857142857
6_18, 6, RATTLE, 0.41874
11_13, 11, RATTLE, 5.31075
13_17,13,isONform,0.49312272727272716
15_6,15,isONform,0.1514263157894737
3_10,3,isONform,0.6504333333333333
13_6,13,isONform,0.8212999999999999
6_12,6,isONform,0.2722333333333333
15_7, 15, RATTLE, 3.4204
14_6, 14, RATTLE, 10.543675
9_6, 9, RATTLE, 0.9446142857142856
11_9,11,isONform,0.5699666666666666
3_5,3,isONform,0.37498
8_6,8,isONform,0.35934166666666667
2_6,2,isONform,1.0850499999999998
10_13,10,isONform,0.2715615384615385
9_9,9,isONform,0.7094
15_19, 15, RATTLE, 1.2591111111111113
11_10, 11, RATTLE, 0.4839
15_12, 15, RATTLE, 0.45816666666666667
3_11, 3, RATTLE, 1.4676
13_14, 13, RATTLE, 0.5056142857142858
6_1, 6, RATTLE, 1.24088
12_11, 12, RATTLE, 4.518459999999999
12_16, 12, RATTLE, 1.2420666666666667
3_7,3,isONform,0.33514
15_15, 15, RATTLE, 1.77324
10_7,10,isONform,0.08431
15_11,15,isONform,0.12151333333333333
10_11,10,isONform,0.24475000000000002
6_7, 6, RATTLE, 0.40642500000000004
13_4, 13, RATTLE, 2.0735625
2_15, 2, RATTLE, 0.4286
7_11,7,isONform,0.2094111111111111
8_16, 8, RATTLE, 2.6171750000000005
6_13, 6, RATTLE, 1.9943333333333333
12_18,12,isONform,0.23763333333333334
4_1, 4, RATTLE, 0.3565333333333333
11_3,11,isONform,0.12319999999999999
15_20, 15, RATTLE, 1.6119499999999998
2_11, 2, RATTLE, 0.0
8_12,8,isONform,0.7125363636363636
2_3,2,isONform,0.4003
3_14,3,isONform,0.42419999999999997
9_1, 9, RATTLE, 0.9386
8_15,8,isONform,0.8823416666666666
2_9,2,isONform,0.1087
13_7, 13, RATTLE, 1.4442749999999998
15_2, 15, RATTLE, 1.9671222222222222
7_4, 7, RATTLE, 0.52155
4_13,4,isONform,0.1116
9_4,9,isONform,0.48538999999999993
10_11, 10, RATTLE, 4.149071428571428
14_4, 14, RATTLE, 0.8642666666666666
3_14, 3, RATTLE, 0.36706666666666665
7_18, 7, RATTLE, 0.2547
5_7, 5, RATTLE, 1.288075
9_1,9,isONform,0.4649666666666667
2_2,2,isONform,0.0
6_8,6,isONform,0.20135714285714285
14_7,14,isONform,0.18705624999999998
11_8, 11, RATTLE, 5.10098
5_4,5,isONform,0.43229999999999996
14_14,14,isONform,0.4279684210526316
8_5,8,isONform,1.0434230769230768
5_2, 5, RATTLE, 0.5571
14_13, 14, RATTLE, 1.7125545454545452
2_12,2,isONform,0.1375
13_10, 13, RATTLE, 3.537516666666667
9_15,9,isONform,0.1007181818181818
6_1,6,isONform,0.2213333333333333
13_9, 13, RATTLE, 0.46024000000000004
8_11,8,isONform,0.0465
4_11,4,isONform,0.0
8_5, 8, RATTLE, 1.27775
9_16,9,isONform,0.9509249999999999
9_8, 9, RATTLE, 4.154316666666666
3_1, 3, RATTLE, 0.29073333333333334
10_20, 10, RATTLE, 1.5914333333333335
5_7,5,isONform,0.0
3_11,3,isONform,0.8048333333333333
14_12,14,isONform,0.321
2_7,2,isONform,0.3385
15_16,15,isONform,0.32974374999999995
14_2, 14, RATTLE, 2.9316799999999996
6_7,6,isONform,0.17636666666666667
7_4,7,isONform,0.19287142857142858
14_15, 14, RATTLE, 4.09335
5_19, 5, RATTLE, 0.054759999999999996
4_1,4,isONform,0.144225
3_2,3,isONform,0.3030333333333333
13_18, 13, RATTLE, 2.7982875000000003
6_4,6,isONform,0.499225
3_10, 3, RATTLE, 9.851
7_13,7,isONform,0.1151
2_13,2,isONform,0.0595
12_15, 12, RATTLE, 1.81255
8_20, 8, RATTLE, 3.53202
10_4, 10, RATTLE, 0.49111249999999995
14_19,14,isONform,0.5985499999999999
12_9, 12, RATTLE, 0.9739714285714286
8_1,8,isONform,0.20349
8_14, 8, RATTLE, 2.1252400000000002
9_19,9,isONform,0.1665333333333333
8_13, 8, RATTLE, 2.5956
5_9,5,isONform,0.25427999999999995
6_19,6,isONform,0.5812571428571428
7_16, 7, RATTLE, 0.3319571428571429
13_5, 13, RATTLE, 0.33016999999999996
15_18, 15, RATTLE, 5.170033333333333
11_17,11,isONform,0.15179090909090912
11_1, 11, RATTLE, 8.026666666666667
2_14, 2, RATTLE, 0.7102
13_13, 13, RATTLE, 1.3704777777777777
13_1,13,isONform,0.14045384615384615
7_6,7,isONform,0.08008571428571429
15_3, 15, RATTLE, 1.2295181818181817
10_17,10,isONform,0.4745166666666667
11_14,11,isONform,0.25943529411764704
3_18, 3, RATTLE, 4.3671
2_5,2,isONform,0.9072500000000001
9_3,9,isONform,0.07374444444444445
15_18,15,isONform,0.26929444444444445
7_6, 7, RATTLE, 0.41685999999999995
15_10, 15, RATTLE, 0.9266181818181818
14_20, 14, RATTLE, 2.8955
12_4,12,isONform,0.2555769230769231
