id,nr_isos,tool,total_errors
15_2,15,isONform,234
40_1,40,isONform,618
15_8, 15, RATTLE, 327
45_2, 45, RATTLE, 746
10_2,10,isONform,137
30_6,30,isONform,465
25_9, 25, RATTLE, 637
30_4,30,isONform,444
15_4,15,isONform,255
25_6,25,isONform,432
35_9, 35, RATTLE, 1028
50_5, 50, RATTLE, 1633
10_9,10,isONform,157
5_2,5,isONform,76
25_9,25,isONform,352
20_10, 20, RATTLE, 255
20_7,20,isONform,303
50_7,50,isONform,798
15_8,15,isONform,247
15_9, 15, RATTLE, 218
50_8,50,isONform,733
25_8,25,isONform,391
35_5, 35, RATTLE, 865
45_3, 45, RATTLE, 1066
30_8, 30, RATTLE, 718
15_5,15,isONform,236
5_3, 5, RATTLE, 90
40_2, 40, RATTLE, 1039
50_7, 50, RATTLE, 1567
40_6, 40, RATTLE, 1290
20_4,20,isONform,303
15_6,15,isONform,218
50_2, 50, RATTLE, 1227
15_7, 15, RATTLE, 462
30_9, 30, RATTLE, 1040
50_2,50,isONform,736
45_9, 45, RATTLE, 672
30_10, 30, RATTLE, 518
10_7,10,isONform,147
35_7,35,isONform,642
35_2, 35, RATTLE, 799
50_10, 50, RATTLE, 1009
45_1,45,isONform,669
15_2, 15, RATTLE, 202
45_6,45,isONform,616
40_3, 40, RATTLE, 1180
25_4, 25, RATTLE, 549
50_9,50,isONform,772
5_7, 5, RATTLE, 75
25_1, 25, RATTLE, 443
5_4,5,isONform,81
40_6,40,isONform,606
5_2, 5, RATTLE, 80
25_8, 25, RATTLE, 975
25_2, 25, RATTLE, 533
50_1,50,isONform,791
30_2, 30, RATTLE, 706
5_7,5,isONform,60
20_1, 20, RATTLE, 583
45_8, 45, RATTLE, 1350
50_3,50,isONform,714
45_10, 45, RATTLE, 1094
10_4, 10, RATTLE, 248
30_5,30,isONform,435
30_6, 30, RATTLE, 727
5_9,5,isONform,58
45_8,45,isONform,688
25_10, 25, RATTLE, 516
40_8, 40, RATTLE, 1125
35_6, 35, RATTLE, 1532
20_3, 20, RATTLE, 443
40_5, 40, RATTLE, 1356
35_10, 35, RATTLE, 861
30_1, 30, RATTLE, 826
15_3, 15, RATTLE, 241
45_7,45,isONform,711
40_7, 40, RATTLE, 1342
35_2,35,isONform,541
15_10, 15, RATTLE, 387
25_7, 25, RATTLE, 394
10_1,10,isONform,136
35_3,35,isONform,583
45_5,45,isONform,739
40_4, 40, RATTLE, 1047
25_10,25,isONform,376
50_4, 50, RATTLE, 1091
35_1, 35, RATTLE, 796
20_10,20,isONform,300
10_3, 10, RATTLE, 252
5_5, 5, RATTLE, 80
35_1,35,isONform,550
30_1,30,isONform,452
25_1,25,isONform,397
30_7,30,isONform,489
10_8, 10, RATTLE, 154
40_4,40,isONform,655
45_4,45,isONform,670
25_3,25,isONform,399
10_8,10,isONform,167
5_10, 5, RATTLE, 77
5_6,5,isONform,86
40_10, 40, RATTLE, 1273
35_4, 35, RATTLE, 886
50_5,50,isONform,824
40_5,40,isONform,588
25_4,25,isONform,331
50_6, 50, RATTLE, 1431
5_1, 5, RATTLE, 255
10_9, 10, RATTLE, 176
45_5, 45, RATTLE, 1506
40_9,40,isONform,641
35_8,35,isONform,566
15_10,15,isONform,219
50_3, 50, RATTLE, 1226
5_8, 5, RATTLE, 102
10_1, 10, RATTLE, 544
40_10,40,isONform,556
20_9,20,isONform,279
15_9,15,isONform,209
40_8,40,isONform,577
10_5, 10, RATTLE, 232
45_10,45,isONform,628
5_6, 5, RATTLE, 74
45_1, 45, RATTLE, 1312
35_6,35,isONform,508
30_4, 30, RATTLE, 552
40_7,40,isONform,605
10_2, 10, RATTLE, 158
20_9, 20, RATTLE, 309
40_9, 40, RATTLE, 1017
25_7,25,isONform,376
15_3,15,isONform,240
25_5,25,isONform,419
25_3, 25, RATTLE, 544
25_6, 25, RATTLE, 448
45_3,45,isONform,710
40_3,40,isONform,549
50_1, 50, RATTLE, 1087
45_4, 45, RATTLE, 1038
35_8, 35, RATTLE, 1123
20_1,20,isONform,297
40_1, 40, RATTLE, 783
40_2,40,isONform,667
45_6, 45, RATTLE, 1824
10_6,10,isONform,134
5_9, 5, RATTLE, 83
30_9,30,isONform,476
5_4, 5, RATTLE, 130
35_9,35,isONform,546
10_4,10,isONform,155
15_1, 15, RATTLE, 361
5_1,5,isONform,75
10_5,10,isONform,186
30_5, 30, RATTLE, 982
45_2,45,isONform,701
20_2, 20, RATTLE, 478
15_1,15,isONform,236
30_10,30,isONform,449
30_3,30,isONform,411
20_3,20,isONform,298
20_6, 20, RATTLE, 609
25_2,25,isONform,374
10_10, 10, RATTLE, 181
20_8,20,isONform,296
5_5,5,isONform,78
10_10,10,isONform,153
30_8,30,isONform,478
20_5, 20, RATTLE, 276
35_5,35,isONform,537
50_6,50,isONform,754
45_9,45,isONform,674
5_3,5,isONform,61
20_4, 20, RATTLE, 413
5_8,5,isONform,114
15_5, 15, RATTLE, 312
15_6, 15, RATTLE, 710
30_7, 30, RATTLE, 968
15_7,15,isONform,242
10_3,10,isONform,175
30_3, 30, RATTLE, 708
20_8, 20, RATTLE, 389
50_8, 50, RATTLE, 1210
50_4,50,isONform,759
15_4, 15, RATTLE, 228
50_10,50,isONform,778
25_5, 25, RATTLE, 1157
35_7, 35, RATTLE, 744
5_10,5,isONform,75
10_6, 10, RATTLE, 160
45_7, 45, RATTLE, 1475
50_9, 50, RATTLE, 1129
35_10,35,isONform,514
20_6,20,isONform,365
10_7, 10, RATTLE, 168
20_7, 20, RATTLE, 695
35_4,35,isONform,541
30_2,30,isONform,470
20_5,20,isONform,288
35_3, 35, RATTLE, 1013
20_2,20,isONform,281
