id,nr_isos,tool,precision
15_2,15,isONform,0.9375
40_1,40,isONform,1.0
15_8, 15, RATTLE, 1.0
45_2, 45, RATTLE, 1.0
10_2,10,isONform,1.0
30_6,30,isONform,0.9666666666666667
25_9, 25, RATTLE, 1.0
30_4,30,isONform,1.0
15_4,15,isONform,0.875
25_6,25,isONform,0.9259259259259259
35_9, 35, RATTLE, 1.0
50_5, 50, RATTLE, 1.0
10_9,10,isONform,1.0
5_2,5,isONform,1.0
25_9,25,isONform,1.0
20_10, 20, RATTLE, 1.0
20_7,20,isONform,1.0
50_7,50,isONform,1.0
15_8,15,isONform,1.0
15_9, 15, RATTLE, 1.0
50_8,50,isONform,0.9791666666666666
25_8,25,isONform,0.96
35_5, 35, RATTLE, 1.0
45_3, 45, RATTLE, 1.0
30_8, 30, RATTLE, 1.0
15_5,15,isONform,1.0
5_3, 5, RATTLE, 1.0
40_2, 40, RATTLE, 0.9642857142857143
50_7, 50, RATTLE, 1.0
40_6, 40, RATTLE, 0.9629629629629629
20_4,20,isONform,1.0
15_6,15,isONform,1.0
50_2, 50, RATTLE, 1.0
15_7, 15, RATTLE, 1.0
30_9, 30, RATTLE, 1.0
50_2,50,isONform,1.0
45_9, 45, RATTLE, 1.0
30_10, 30, RATTLE, 1.0
10_7,10,isONform,1.0
35_7,35,isONform,0.9714285714285714
35_2, 35, RATTLE, 1.0
50_10, 50, RATTLE, 1.0
45_1,45,isONform,0.9767441860465116
15_2, 15, RATTLE, 1.0
45_6,45,isONform,0.9761904761904762
40_3, 40, RATTLE, 0.9629629629629629
25_4, 25, RATTLE, 1.0
50_9,50,isONform,0.9791666666666666
5_7, 5, RATTLE, 1.0
25_1, 25, RATTLE, 1.0
5_4,5,isONform,1.0
40_6,40,isONform,0.975
5_2, 5, RATTLE, 1.0
25_8, 25, RATTLE, 1.0
25_2, 25, RATTLE, 1.0
50_1,50,isONform,0.9591836734693877
30_2, 30, RATTLE, 1.0
5_7,5,isONform,1.0
20_1, 20, RATTLE, 1.0
45_8, 45, RATTLE, 1.0
50_3,50,isONform,1.0
45_10, 45, RATTLE, 1.0
10_4, 10, RATTLE, 1.0
30_5,30,isONform,1.0
30_6, 30, RATTLE, 1.0
5_9,5,isONform,1.0
45_8,45,isONform,0.9555555555555556
25_10, 25, RATTLE, 1.0
40_8, 40, RATTLE, 1.0
35_6, 35, RATTLE, 1.0
20_3, 20, RATTLE, 1.0
40_5, 40, RATTLE, 1.0
35_10, 35, RATTLE, 1.0
30_1, 30, RATTLE, 1.0
15_3, 15, RATTLE, 1.0
45_7,45,isONform,0.9772727272727273
40_7, 40, RATTLE, 1.0
35_2,35,isONform,1.0
15_10, 15, RATTLE, 1.0
25_7, 25, RATTLE, 1.0
10_1,10,isONform,1.0
35_3,35,isONform,0.9714285714285714
45_5,45,isONform,0.9555555555555556
40_4, 40, RATTLE, 1.0
25_10,25,isONform,1.0
50_4, 50, RATTLE, 1.0
35_1, 35, RATTLE, 1.0
20_10,20,isONform,1.0
10_3, 10, RATTLE, 1.0
5_5, 5, RATTLE, 1.0
35_1,35,isONform,0.9722222222222222
30_1,30,isONform,0.9666666666666667
25_1,25,isONform,0.9230769230769231
30_7,30,isONform,0.9666666666666667
10_8, 10, RATTLE, 1.0
40_4,40,isONform,0.975
45_4,45,isONform,1.0
25_3,25,isONform,0.9615384615384616
10_8,10,isONform,1.0
5_10, 5, RATTLE, 1.0
5_6,5,isONform,1.0
40_10, 40, RATTLE, 1.0
35_4, 35, RATTLE, 1.0
50_5,50,isONform,0.9387755102040817
40_5,40,isONform,1.0
25_4,25,isONform,0.9583333333333334
50_6, 50, RATTLE, 1.0
5_1, 5, RATTLE, 1.0
10_9, 10, RATTLE, 1.0
45_5, 45, RATTLE, 1.0
40_9,40,isONform,0.975
35_8,35,isONform,0.9722222222222222
15_10,15,isONform,1.0
50_3, 50, RATTLE, 1.0
5_8, 5, RATTLE, 1.0
10_1, 10, RATTLE, 1.0
40_10,40,isONform,1.0
20_9,20,isONform,1.0
15_9,15,isONform,1.0
40_8,40,isONform,1.0
10_5, 10, RATTLE, 1.0
45_10,45,isONform,0.9545454545454546
5_6, 5, RATTLE, 1.0
45_1, 45, RATTLE, 1.0
35_6,35,isONform,1.0
30_4, 30, RATTLE, 1.0
40_7,40,isONform,0.9743589743589743
10_2, 10, RATTLE, 1.0
20_9, 20, RATTLE, 1.0
40_9, 40, RATTLE, 1.0
25_7,25,isONform,1.0
15_3,15,isONform,1.0
25_5,25,isONform,0.9230769230769231
25_3, 25, RATTLE, 1.0
25_6, 25, RATTLE, 1.0
45_3,45,isONform,0.9333333333333333
40_3,40,isONform,1.0
50_1, 50, RATTLE, 1.0
45_4, 45, RATTLE, 1.0
35_8, 35, RATTLE, 0.9629629629629629
20_1,20,isONform,1.0
40_1, 40, RATTLE, 1.0
40_2,40,isONform,0.9512195121951219
45_6, 45, RATTLE, 1.0
10_6,10,isONform,1.0
5_9, 5, RATTLE, 1.0
30_9,30,isONform,1.0
5_4, 5, RATTLE, 1.0
35_9,35,isONform,0.9714285714285714
10_4,10,isONform,1.0
15_1, 15, RATTLE, 1.0
5_1,5,isONform,1.0
10_5,10,isONform,1.0
30_5, 30, RATTLE, 1.0
45_2,45,isONform,0.9772727272727273
20_2, 20, RATTLE, 1.0
15_1,15,isONform,1.0
30_10,30,isONform,1.0
30_3,30,isONform,1.0
20_3,20,isONform,1.0
20_6, 20, RATTLE, 1.0
25_2,25,isONform,1.0
10_10, 10, RATTLE, 1.0
20_8,20,isONform,1.0
5_5,5,isONform,1.0
10_10,10,isONform,1.0
30_8,30,isONform,0.9666666666666667
20_5, 20, RATTLE, 1.0
35_5,35,isONform,0.9428571428571428
50_6,50,isONform,0.96
45_9,45,isONform,0.9767441860465116
5_3,5,isONform,1.0
20_4, 20, RATTLE, 1.0
5_8,5,isONform,1.0
15_5, 15, RATTLE, 1.0
15_6, 15, RATTLE, 1.0
30_7, 30, RATTLE, 1.0
15_7,15,isONform,1.0
10_3,10,isONform,1.0
30_3, 30, RATTLE, 1.0
