id,nr_isos,tool,recall
15_2,15,isONform,1.0
40_1,40,isONform,0.95
15_8, 15, RATTLE, 0.8
45_2, 45, RATTLE, 0.6666666666666666
10_2,10,isONform,1.0
30_6,30,isONform,0.9666666666666667
25_9, 25, RATTLE, 0.64
30_4,30,isONform,0.9666666666666667
15_4,15,isONform,0.9333333333333333
25_6,25,isONform,1.0
35_9, 35, RATTLE, 0.6285714285714286
50_5, 50, RATTLE, 0.64
10_9,10,isONform,1.0
5_2,5,isONform,1.0
25_9,25,isONform,0.96
20_10, 20, RATTLE, 0.8
20_7,20,isONform,1.0
50_7,50,isONform,0.94
15_8,15,isONform,1.0
15_9, 15, RATTLE, 0.8666666666666667
50_8,50,isONform,0.94
25_8,25,isONform,0.96
35_5, 35, RATTLE, 0.6857142857142857
45_3, 45, RATTLE, 0.6444444444444445
30_8, 30, RATTLE, 0.7666666666666667
15_5,15,isONform,1.0
5_3, 5, RATTLE, 1.0
40_2, 40, RATTLE, 0.675
50_7, 50, RATTLE, 0.68
40_6, 40, RATTLE, 0.65
20_4,20,isONform,1.0
15_6,15,isONform,0.9333333333333333
50_2, 50, RATTLE, 0.6
15_7, 15, RATTLE, 0.8666666666666667
30_9, 30, RATTLE, 0.6333333333333333
50_2,50,isONform,0.96
45_9, 45, RATTLE, 0.5555555555555556
30_10, 30, RATTLE, 0.7666666666666667
10_7,10,isONform,1.0
35_7,35,isONform,0.9714285714285714
35_2, 35, RATTLE, 0.6571428571428571
50_10, 50, RATTLE, 0.56
45_1,45,isONform,0.9333333333333333
15_2, 15, RATTLE, 0.9333333333333333
45_6,45,isONform,0.9111111111111111
40_3, 40, RATTLE, 0.65
25_4, 25, RATTLE, 0.56
50_9,50,isONform,0.94
5_7, 5, RATTLE, 1.0
25_1, 25, RATTLE, 0.6
5_4,5,isONform,1.0
40_6,40,isONform,0.975
5_2, 5, RATTLE, 1.0
25_8, 25, RATTLE, 0.72
25_2, 25, RATTLE, 0.64
50_1,50,isONform,0.94
30_2, 30, RATTLE, 0.8
5_7,5,isONform,1.0
20_1, 20, RATTLE, 0.8
45_8, 45, RATTLE, 0.6
50_3,50,isONform,0.98
45_10, 45, RATTLE, 0.6666666666666666
10_4, 10, RATTLE, 0.7
30_5,30,isONform,0.9
30_6, 30, RATTLE, 0.7
5_9,5,isONform,1.0
45_8,45,isONform,0.9555555555555556
25_10, 25, RATTLE, 0.64
40_8, 40, RATTLE, 0.65
35_6, 35, RATTLE, 0.5428571428571428
20_3, 20, RATTLE, 0.7
40_5, 40, RATTLE, 0.55
35_10, 35, RATTLE, 0.6857142857142857
30_1, 30, RATTLE, 0.7666666666666667
15_3, 15, RATTLE, 0.8666666666666667
45_7,45,isONform,0.9555555555555556
40_7, 40, RATTLE, 0.7
35_2,35,isONform,0.9714285714285714
15_10, 15, RATTLE, 0.8666666666666667
25_7, 25, RATTLE, 0.8
10_1,10,isONform,1.0
35_3,35,isONform,0.9714285714285714
45_5,45,isONform,0.9555555555555556
40_4, 40, RATTLE, 0.675
25_10,25,isONform,0.92
50_4, 50, RATTLE, 0.58
35_1, 35, RATTLE, 0.7428571428571429
20_10,20,isONform,1.0
10_3, 10, RATTLE, 0.8
5_5, 5, RATTLE, 1.0
35_1,35,isONform,1.0
30_1,30,isONform,0.9666666666666667
25_1,25,isONform,0.96
30_7,30,isONform,0.9666666666666667
10_8, 10, RATTLE, 0.9
40_4,40,isONform,0.975
45_4,45,isONform,0.9555555555555556
25_3,25,isONform,1.0
10_8,10,isONform,1.0
